song_id,song_name,popularity,explicit,song_type,artist_ids,artist_names,genres,primary_genre,release_year,acousticness,instrumentalness,loudness,speechiness,valence,tempo
3GJ4hzg4lrGwU51Y3VARbF,Speechless,74,False,Solo,['7z5WFjZAIYejWy0NI5lv4T'],['Dan + Shay'],{'country': 1},country,2018,0.356,0.0,-5.968,0.0298,0.386,135.929
0U2pP3HpalMInP1lOhECsw,Love Lies,2,False,Solo,['0kwBswqLAwOSM0PdZAEKaM'],['2018 DJ Grime'],{'Other': 1},Other,2018,0.478,0.0,-8.577,0.0604,0.373,144.025
4T3fNx3CgwDRRYgmFCbD4J,Better,75,False,Solo,['6LuN9FCkKOj5PcnpouEgny'],['Khalid'],{'pop': 1},pop,2018,0.0984,0.391,-10.332,0.0964,0.116,97.565
3T6Lsd2qR4nk92hwxJ5sBW,(There's No Place Like) Home for the Holidays,3,False,Collaboration,"['0HS96tPggl2nwiz3gNWWI5', '5v8jlSmAQfrkTjAlpUfWtu', '2FbG2PIAVFvzszwgz2QuOL']","['Mitchell Ayres & His Orchestra', 'Perry Como', 'The Ray Charles Singers']","{'Other': 2, 'pop': 1}",Other,1999,0.769,0.0,-9.692,0.061,0.499,144.03
2FY7b99s15jUprqC0M5NCT,Natural,82,False,Solo,['53XhwfbYqKCa1cC15pYq2q'],['Imagine Dragons'],{'rock': 1},rock,2018,0.217,0.0,-6.112,0.0409,0.22,100.0
2MShy1GSSgbmGUxADNIao5,Calling My Spirit,75,True,Solo,['46SHBwWsqBkxI7EeeBEQG7'],['Kodak Black'],{'hip hop': 1},hip hop,2018,0.0996,0.0,-9.954,0.0941,0.74,119.985
75nEUfYzeskPFRBQk5BvCg,Wonderful Christmastime,20,False,Collaboration,"['4STHEaNw4mPZ2tzheohgXB', '7mAcgRMD6EfCKHO6cIkDOP', '78xUyw6FkVZrRAtziFdtdu']","['Paul McCartney', 'Jimmy Fallon', 'The Roots']","{'rock': 1, 'Other': 1, 'hip hop': 1}",rock,2017,0.567,0.0,-5.391,0.0623,0.688,95.024
4so0Wek9Ig1p6CRCHuINwW,White Christmas,49,False,Collaboration,"['69UfPJgUmFFAVT740qGVZi', '6ZjFtWeHP9XN7FeKSUe80S', '735L650pvygCZZlPMyHqsN']","['Ken Darby Singers', 'Bing Crosby', 'John Scott Trotter & His Orchestra']","{'Other': 2, 'pop': 1}",Other,1942,0.673,0.353,-16.485,0.0381,0.247,130.503
3wScL5W8H40zzCKN0atfBk,Uproar,73,True,Collaboration,"['55Aa2cqylxrFIXC767Z865', '2cADQgiLMjNhbsfeN52Bf3']","['Lil Wayne', 'Swizz Beatz']",{'hip hop': 2},hip hop,2018,0.0595,0.0,-2.188,0.212,0.884,99.075
46pF1zFimM582ss1PrMy68,Christmas (Baby Please Come Home),41,False,Solo,['391oLRVmoTkumiN79HkTWu'],['Darlene Love'],{'pop': 1},pop,1963,0.392,0.000388,-7.146,0.0513,0.356,126.322
698eQRku24PIYPQPHItKlA,She Got the Best of Me,75,False,Solo,['718COspgdWOnwOFpJHRZHS'],['Luke Combs'],{'country': 1},country,2018,0.0292,0.0,-3.793,0.0406,0.7,150.99
4CH66Rxcjcj3VBHwmIBj4T,BAD!,72,False,Solo,['15UsOTVnJzReFVN1VCnxy4'],['XXXTENTACION'],{'hip hop': 1},hip hop,2018,0.0643,0.0313,-3.4,0.0671,0.374,143.983
1G4cdOtF36ZCs6i2dZoC87,Drunk Me,72,False,Solo,['1p6CdzJRoicjRcSdWoB9Qc'],['Mitchell Tenpenny'],{'country': 1},country,2018,0.199,0.0,-3.77,0.0554,0.408,176.024
3VamXAvVMczcS2PTYtPfBQ,Best Shot,71,False,Solo,['147nKr9upHZSSxqCzh9j7c'],['Jimmie Allen'],{'country': 1},country,2018,0.75,0.0,-8.72,0.0334,0.523,156.051
6Up545NUflOiXo8cEraH49,You Say,79,False,Solo,['40LHVA5BTQp9RxHOQ9JPYj'],['Lauren Daigle'],{'soul': 1},soul,2018,0.682,0.0,-6.89,0.0344,0.0791,147.892
5wujBwqG7INdStqGd4tRMX,Armed And Dangerous,79,True,Solo,['4MCBfE4596Uoi2O4DtmEMz'],['Juice WRLD'],{'hip hop': 1},hip hop,2018,0.186,0.0,-6.702,0.311,0.845,130.032
3EPXxR3ImUwfayaurPi3cm,Be Alright,83,True,Solo,['3QSQFmccmX81fWCUSPTS7y'],['Dean Lewis'],{'pop': 1},pop,2018,0.697,0.0,-6.319,0.0362,0.443,126.684
3pJkBPHadRAxBBo484RipI,Sixteen,67,False,Solo,['6x2LnllRG5uGarZMsD4iO8'],['Thomas Rhett'],{'country': 1},country,2017,0.0147,2.11e-06,-7.014,0.0273,0.417,106.992
7sTtHHrD0zDpmzQzH3zegz,Consequences,71,False,Solo,['4nDoRrQiYLoBzwC5BhVJzF'],['Camila Cabello'],{'pop': 1},pop,2018,0.889,0.0,-6.792,0.0563,0.43,84.339
577YBGuskWkVDCxZrLRB4v,Pure Cocaine,76,True,Solo,['5f7VJjfbwm532GiveGC0ZK'],['Lil Baby'],{'hip hop': 1},hip hop,2018,0.00127,6.57e-06,-6.071,0.421,0.107,127.05
2GHO21NrpLapnnfx5z2UL6,Girl Like You,48,False,Solo,['3FfvYsEGaIb52QPXhg4DcH'],['Jason Aldean'],{'country': 1},country,2018,0.0338,0.000289,-4.69,0.0354,0.433,144.07
5HnXcJJbNXQQ7tRlQ9VN1v,Good Girl,71,False,Solo,['1dID9zgn0OV0Y8ud7Mh2tS'],['Dustin Lynch'],{'country': 1},country,2018,0.16,0.0,-5.05,0.0871,0.694,80.512
6Gg25EZRbQd4IHiJz2KSY0,Testimony,60,True,Solo,['46SHBwWsqBkxI7EeeBEQG7'],['Kodak Black'],{'hip hop': 1},hip hop,2018,0.0369,0.0,-4.785,0.36,0.376,80.031
01jIO8SJFnpSiNLH1JaBZ5,You,70,True,Solo,['4tMm1dU6Gn04VAZ9ClHcIZ'],['Jacquees'],{'hip hop': 1},hip hop,2018,0.413,0.0,-8.264,0.0602,0.335,115.002
43zdsphuZLzwA9k4DJhU0I,when the party's over,87,False,Solo,['6qqNVTkY8uBg9cP3Jd7DAH'],['Billie Eilish'],{'pop': 1},pop,2019,0.978,3.97e-05,-14.084,0.0972,0.198,82.642
6viHvc13l9A6Ua6xugpeX6,Last Shot,65,False,Solo,['2hJPr4lk7Q8SSvCVBl9fWM'],['Kip Moore'],{'country': 1},country,2017,0.00204,0.0,-4.403,0.0488,0.377,148.037
7pdF27mSDuPWhppnHAmWHa,whoa (mind in awe),74,False,Solo,['15UsOTVnJzReFVN1VCnxy4'],['XXXTENTACION'],{'hip hop': 1},hip hop,2018,0.653,0.918,-2.939,0.0441,0.369,160.147
2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,79,False,Solo,['718COspgdWOnwOFpJHRZHS'],['Luke Combs'],{'country': 1},country,2018,0.676,0.0,-7.431,0.0262,0.382,103.313
5274I4mUMnYczyeXkGDWZN,Fine China,77,True,Collaboration,"['1RyvyyTE3xzB2ZywiAwp0i', '4MCBfE4596Uoi2O4DtmEMz']","['Future', 'Juice WRLD']",{'hip hop': 2},hip hop,2018,0.0484,0.0,-7.358,0.323,0.551,166.111
34DFpyq5NJJ79GnGbbJH3p,This Is It,71,False,Solo,['6ZV6lGY0prbqpTD0Md8i29'],['Scotty McCreery'],{'country': 1},country,2018,0.254,0.0,-6.788,0.0291,0.602,156.042
25sgk305KZfyuqVBQIahim,Sweet but Psycho,86,False,Solo,['4npEfmQ6YuiwW1GpUmaq3F'],['Ava Max'],{'pop': 1},pop,2018,0.0691,0.0,-4.724,0.0476,0.628,133.002
05t7JMip6JrLuSrMV5yYjX,Envy Me,79,True,Solo,['0HkcYmcjrBR3SCw9Ld5VZk'],['Calboy'],{'hip hop': 1},hip hop,2018,0.282,0.0,-7.663,0.313,0.581,149.025
7lAK3oHbfEnvUQWosrMMpR,YOSEMITE,78,True,Solo,['0Y5tJX1MQlPlqiwlOH1tJY'],['Travis Scott'],{'pop': 1},pop,2018,0.283,3.4e-06,-6.571,0.0409,0.144,128.047
68JS5SFTnW5Yv9Vzw81Jf0,Millionaire,67,False,Solo,['4YLtscXsxbVgi031ovDDdh'],['Chris Stapleton'],{'country': 1},country,2017,0.165,0.00968,-9.666,0.0279,0.454,142.635
3Ol2xnObFdKV9pmRD2t9x8,Look Back at It,81,True,Solo,['31W5EY0aAly4Qieq6OFu6I'],['A Boogie Wit da Hoodie'],{'hip hop': 1},hip hop,2018,0.407,0.0,-5.075,0.0413,0.536,96.057
6XcfKZvJio9Z0fQy11GnNX,broken,73,False,Solo,['4KJ6jujcNPzOyhdNoiNftp'],['lovelytheband'],{'pop': 1},pop,2018,0.00175,4.26e-06,-5.808,0.0419,0.51,122.996
7uqcLJFlSYjVPLUz1vPxkY,Guardian angel,67,True,Solo,['15UsOTVnJzReFVN1VCnxy4'],['XXXTENTACION'],{'hip hop': 1},hip hop,2018,0.795,0.0,-10.215,0.511,0.779,133.952
5OCJzvD7sykQEKHH7qAC3C,God is a woman,80,True,Solo,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],{'pop': 1},pop,2018,0.0233,6e-05,-5.934,0.0558,0.268,145.031
4axYWgXASdsCBHuwInAubT,I don’t let go,66,True,Solo,['15UsOTVnJzReFVN1VCnxy4'],['XXXTENTACION'],{'hip hop': 1},hip hop,2018,0.591,0.0724,-7.479,0.08,0.478,80.035
5lar0mCUejpILVkAz50s2J,Train food,61,True,Solo,['15UsOTVnJzReFVN1VCnxy4'],['XXXTENTACION'],{'hip hop': 1},hip hop,2018,0.564,9.1e-05,-7.278,0.691,0.23,137.453
57nOpVSc3j9o03Cr928ZM4,what are you so afraid of,66,False,Solo,['15UsOTVnJzReFVN1VCnxy4'],['XXXTENTACION'],{'hip hop': 1},hip hop,2018,0.774,0.469,-9.902,0.0301,0.347,103.369
4KpKyRFwN0gcwj58Uqjv7q,STARING AT THE SKY,62,False,Solo,['15UsOTVnJzReFVN1VCnxy4'],['XXXTENTACION'],{'hip hop': 1},hip hop,2018,0.134,0.00184,-9.892,0.0257,0.689,140.935
07FkzikE6FuHIa8Ma7zJGc,Lie,76,False,Solo,['6fOMl44jA4Sp5b9PpYCkzz'],['NF'],{'hip hop': 1},hip hop,2017,0.161,0.0,-6.542,0.133,0.182,95.003
5itzep0nGnq7hxCfFNsTIR,difference (interlude),63,False,Solo,['15UsOTVnJzReFVN1VCnxy4'],['XXXTENTACION'],{'hip hop': 1},hip hop,2018,0.949,1.31e-05,-15.268,0.0722,0.19,102.456
5c0Vl3yklw5WX9YI36dPLd,That's On Me,64,True,Solo,['7kwCkEJ384PWm0UQW3hxjS'],['Yella Beezy'],{'hip hop': 1},hip hop,2017,0.0288,0.0,-9.185,0.198,0.538,131.925
3EQ9QP2E7wjYQba8OSPBst,Intro,61,True,Solo,['20sxb77xiYeusSH8cVdatc'],['Meek Mill'],{'hip hop': 1},hip hop,2018,0.0557,0.0,-5.546,0.221,0.24,96.044
6pUBrvKfJL4qmn95mxU7rC,Respect The Game,58,True,Solo,['20sxb77xiYeusSH8cVdatc'],['Meek Mill'],{'hip hop': 1},hip hop,2018,0.0871,0.0,-4.809,0.25,0.159,89.842
45CCe4gu08OYG1I4MH8TU6,Trauma,57,True,Solo,['20sxb77xiYeusSH8cVdatc'],['Meek Mill'],{'hip hop': 1},hip hop,2018,0.0284,0.0,-4.406,0.292,0.183,89.09
1bx4Jw8A7GQtImIQGccI6D,Almost Slipped,56,True,Solo,['20sxb77xiYeusSH8cVdatc'],['Meek Mill'],{'hip hop': 1},hip hop,2018,0.246,0.0,-6.24,0.251,0.46,164.213
