artist_id,name,popularity,artist_type,main_genre,genres,main_genre_detailed,song_ids,acousticness,instrumentalness,loudness,speechiness,valence,tempo,acousticness_scaled,instrumentalness_scaled,loudness_scaled,speechiness_scaled,valence_scaled,tempo_scaled
1h8YIw9HLr6E8gdXVDRbVJ,Big Country,51,band,rock,"['celtic rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'scottish new wave', 'scottish rock']",celtic rock,"['3CCgmzeAVzYRRvchXF86sO', '7f7bSSvBqxn6WAHTRZMWHB', '4cY1KFcIcTkjXxxF4KVDpY']",0.017016666666666666,0.011436666666666664,-9.374,0.0504,0.7586666666666666,126.051,0.017100853851066158,0.01161082910321489,0.6268056849953402,0.05305263157894737,0.7586666666666666,0.5456091902280243
0W498bDDNlJIrYMKXdpLHA,Roberta Flack,65,singer,pop,"['adult standards', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'singer-songwriter', 'soft rock', 'soul', 'vocal jazz']",adult standards,"['7pYNO8ICFBgPwqRQ7hSo2Q', '39bhKSzFTN3eo7eRDDZgKC', '7pxAXM0JdrkcOVfjicvUzU', '7gkboYtvhuXNS4EUwmFPcw', '3OepQ3fQXOa0Tr6H7RKHn6', '3gsCAGsWr6pUm1Vy7CPPob', '65ADTP6Q8mratfOIeKHp7e', '0SxFyA4FqmEQqZVuAlg8lf', '6n5647DTsQSR4llhBAqoUr', '7ACfCLEx4LTXfxvefM1tqb', '5UHpNbocPg0TdGOkf6QX8Z', '4o9Y7Gj0CnZoHqOrgvU9dJ']",0.6932499999999999,0.03716631583333333,-17.293666666666667,0.035075,0.368175,105.96441666666665,0.696733259922179,0.03773230033840947,0.3961536968002486,0.036921052631578945,0.368175,0.45866482273432946
6scOultrkXrQsClcbGKM7e,The Motels,45,band,rock,"['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop']",album rock,"['7J4AXE4JAV1Z1sOdMgotAS', '2JSnduEwkpqphqYB2kUw4R', '05RPI1oExznGR45l2duye7', '31MtjOYcZds81Va4D618JU', '2Q17g2MTaB86PWxyy7XT5r', '5rvqkpDQLApfyIprLaDtCO', '6rrhJqgWT2LsI8gdbmf7ib']",0.06256,0.004315361428571429,-11.680571428571428,0.05795714285714285,0.5152857142857142,114.51928571428572,0.06287310979896193,0.0043810775924583035,0.5596292104912796,0.061007518796992476,0.5152857142857142,0.4956943994419971
6SLAMfhOi7UJI0fMztaK0m,Rainbow,63,band,rock,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",album rock,"['2hDopFcMjFcRi5IRpTSSyr', '6RueOnbP7XQyZaru8NBCdi', '4GeDRMFwoO3NOGMKXXRZmf']",0.12752333333333332,2.6943333333333337e-05,-10.244333333333334,0.031933333333333334,0.8236666666666667,117.84733333333332,0.1281629799715844,2.735363790186125e-05,0.6014581391736565,0.0336140350877193,0.8236666666666667,0.5100997858845392
1bdytLV3FPjyhfrb6BhMej,Asia,57,band,rock,"['album rock', 'art rock', 'classic rock', 'hard rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",album rock,"['7fc4ZrV4Jqeg2UD0xBu2BR', '37ZgDS8M7CHEdmUX6ciINa', '1RvKjCpz3PbzogBMtVwxxa', '3rZLNPadgHyZ2ST4UgrsI1', '49NDegc7RQyvq6mhAs06p6', '1nmZ8yqKkfooOuYvtFctDp']",0.22433333333333336,0.00825499,-9.020166666666666,0.048916666666666664,0.5006666666666667,124.27449999999999,0.22545959341626984,0.008380700507614212,0.637110709847779,0.05149122807017544,0.5006666666666667,0.5379196461035026
6lONz9iABy1tb7Nl9FAOZG,Jo Boxers,33,band,Other,[],-,,,,,,,,,,,,,
7fIvjotigTGWqjIz6EP1i4,Four Tops,70,band,pop,"['brill building pop', 'classic soul', 'disco', 'folk rock', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",brill building pop,"['7CWSuqxO78yfJXOsFaep67', '63nGWkATmsuGxtNYnHHUlu', '7qFHQok5nXsrl6C1YGfHvb', '47cSCP6AWIH0gVige52JwF', '0xHUeIY8I15dW71gLvJjjx', '6tRGxhyqh6ZcKFxPLw1o0N', '5j47nJah7L3lao3lLSvj2k', '3EGwwiirkejV2wnIGhRiaW', '5VHG1DAah77J1hbFLF0gsF', '5uhJGHOULN0Weu9x2BvaWg', '5u559Gmwn1p5ApKZ5KUaOD', '6Uc1goF9ugfWQaYT9Uttw7', '6DdWSQJNCQuQjXJQBHXTz0', '6q8NBpF6twALMb86FBpLgQ', '14TgffNQPJhXzbTe6LUsaB', '77ofWAzg1VoiK0mek1pYC0', '2Q8Cu58e7TjeYwYRjRirys', '753OiXRZmrNYRPkzHsmhif', '5uQGotQ1lAMdQa0gR4Y2Qv', '5feUxmo1qphxusEo1N9GRt', '2r3oMDiiTwssuXfIHDJ0cq', '1wVNVHIywYAfHuVgdHXr3p', '0vvrl5WVLIS02b55kcJutR', '5fAXKjU9zMW60crqtXKFPz', '3JH5VID00XkKglEZMQTtYO', '75tHHyxJw2u6EeMPaTNXHD', '5A6aCZy3zQjX0r7gRxHHFn', '1SWCZR7o9VQzS4TU96jBes', '13ZqCFrJ9aHlG6BPVu2sc5', '59IxJQuFPmW4Xvy7GynZDF', '7hDrdTo6EMr6nlY881BdWm', '2sD2XkPogLt7keXttj7F9o', '5qgZpwyvfVmfC2ZkeUhFWj', '4lFgJ8ZMAu8npJbNp2TpB8', '2PUkN5yn30Zqyte21DamYO', '7G3hL1HvxZ3Iz8J8KkkeAN', '7d1ustAIlXG7ht5Q4IOv7s', '6b6IMqP565TbtFFZg9iFf3', '4uzzsWYSba3bw6fSvagesq', '5z6CfS8CJ2fnmF5BZ5FCUN', '3aCbwWCYCT3MJjZeUnlcp4', '2fhNuRrXT2JZWbvw2JHpnN', '06OtFRgFztElno1CBZLKX4']",0.27613488372093026,0.00786332511627907,-8.632116279069766,0.04725116279069767,0.7507906976744185,117.90574418604652,0.27752152321585055,0.007983071184039663,0.648412270530354,0.04973806609547123,0.7507906976744185,0.510352616072712
485uL27bPomh29R4JmQehQ,Bob Seger,72,singer,rock,"['album rock', 'classic rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",album rock,"['3FMRulxLH3tZMMal3WiNWI', '2wz3h7kJNRkHkJUzCW8b7e', '46XtPLEWJU2ln4poIIFUvR', '5Jno63iv0mzu5OZ28asYbE', '2t9qMdL9Pa6Sp6u2u413gi', '4oBLp0Gx8xoxhq4DXcQ7ps', '5EOoMWIB9iK4ZpcSex9Ec7', '3MqgFVRerrpqWHdRopk247', '00XXUBsdOe8cLPo2p64Dd3', '1Gxaks4MTbjMCAQ20rx4Iy', '2QhqWCo5oODaEJUs2iwysz', '5Pu79RyycysHxtXtSMFhbH', '6o8gxO2r5EAJFSzYFryqrV', '5pKo2ed3oEdFFV5L8xUA04', '1SWmFiFSIBoDbQJjNKC7SR', '2fZw0ya0oI4pXsjkB0NBHs', '3mj46XKJ2aEm1z7ZvbwyLi', '5VbePtZp1at8gH990zVyTI', '1Ryxsiacu8pUXIMCVnIQ8J', '4cVRPrhh7mTVejhx73qA6U', '0XVR94voJPToKX1XoOw0ot', '6UBjSnyP1O5W5ndJoO9vUk', '6RM7EnZNWsEhdikBnNFeDf', '6KGv5DEe1uzWSGFBhyEZ5u', '0csOpNlENN5Ny0iivEFJkk', '691Wr3tOjDqic3OTPLouX3', '0mN7xN1o4OuMjgunfuzHRt', '5ZVZvRVhQZAmta5cNl8cQO']",0.16591267857142858,0.021084602142857144,-5.378035714285715,0.043814285714285715,0.6682142857142858,129.34135714285713,0.166745288452377,0.021405687454677302,0.7431839551990416,0.04612030075187969,0.6682142857142858,0.5598514342108192
0f3EsoviYnRKTkmayI3cux,Men At Work,70,band,rock,"['album rock', 'australian rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",album rock,"['5h2n551gS8unpKUL6aQSGo', '5f4oy73KathdqPVm746x9x', '0AWSQtb26cTvlWl3xbH9JD', '37y3r1updgfP7Jb2JBuYe6', '46RVKt5Edm1zl0rXhPJZxz', '0DnA2DyUwy0W4xMYtRxocL']",0.07988333333333333,0.00628915,-5.551166666666667,0.0408,0.8170000000000001,126.49183333333333,0.080283518505777,0.00638492385786802,0.7381416977322149,0.04294736842105263,0.8170000000000001,0.5475173283469248
78udmCDNaDu5jqfVnBqwia,Melissa Manchester,45,singer,pop,"['adult standards', 'bubblegum pop', 'mellow gold', 'soft rock', 'yacht rock']",adult standards,"['3pKGrhdczTPDqOGwOtCehA', '6l0afH4GG624RDhboISjwL', '5lIHzqJj7uRsnhvyvEuGyH', '13oLZxaQnNHidnfht4v06b', '3mYh6egfMyl0Dek8r9ciK6', '3P9K308CovFv7tbJz8UKRE', '0hujWZt6bmQJawM9PQWVHR', '19UFoFiFCs3rTyHKSbvhZk', '7uENVVxp1Yfvh3MmthFXgv', '4xxPPgpaISmTRc0NyrXgDX', '3kDeuqF5WkWFnrCdsXt3F1', '6EMEfT9B5rDiz6DLl8cj51', '0N3qcAXZM06zaTKm7JCtIh', '5LNItvX1dmNp2i7paTFIZU']",0.33789285714285716,0.04426790071428571,-10.59242857142857,0.04125,0.5925714285714285,118.98821428571429,0.3395899218023642,0.04494203118201595,0.5913202303288511,0.04342105263157895,0.5925714285714285,0.5150380658868807
